id	title	identifiers	flags	source_snippets
goetzmann0292	Baltimore and Ohio Railroad Company Common Stock	No. C243475		notes:"No. C243475,"
goetzmann0293	Baltimore and Ohio Rail Road Company Preferred Stock	No. 466		notes:"No. 466,"
goetzmann0295	Banca Românească Share Certificate	No. 011648		notes:"No. 011648,"
goetzmann0296	Banco Territorial de Cuba (Crédit Foncier Cubain), Acción Beneficiaria	No. 22752		notes:"No. 22752,"
goetzmann0297	Bank of Roumania Limited Share Warrant	No. 5205 | No. 17771-17775		notes:"No. 5205," · notes:"Nos. 17771-17775"
goetzmann0300	St. Petersburg Private Commercial Bank Share, St. Petersburg, 1911	No. 82719		notes:"No. 82719,"
goetzmann0301	Sofiyska Banka (Banque de Sofia) Share Certificate	No. 035685		notes:"No. 035685,"
goetzmann0302	Banque Industrielle de Chine (中法實業銀行) Share, Paris, 1913	No. 47221		notes:"No. 47221,"
goetzmann0303	Banque Territoriale d'Espagne Share	No. 011,824		notes:"No. 011,824,"
goetzmann0304	Beate Uhse Aktiengesellschaft, 1 Euro Share	No. 000069560 | No. WKN 755140		notes:"No. 000069560," · description:"number WKN 755140."
goetzmann0305	Black-Sea-Kuban Railway Company Bond	No. A13852 | Loan of 1911		notes:"No. A13852," · description:"Loan of 1911"
goetzmann0306	Boston and Providence Rail Road Corporation Stock Certificate	No. 122		notes:"No. 122,"
goetzmann0307	British Honduras Company Limited Share Certificate	No. 12240		notes:"No. 12240,"
goetzmann0309	Compagnie Universelle du Canal Interocéanique de Panama Share	No. 185,229		notes:"No. 185,229,"
goetzmann0415	Compagnie Universelle du Canal de Panama Provisional Share	No. 0,269,304		notes:"No. 0,269,304."
goetzmann0310	Compagnie Universelle du Canal Maritime de Suez Obligation	No. 271,266		notes:"No. 271,266"
goetzmann0311	Caramanian Iron Corporation Limited Share Warrant	No. 00,689		notes:"No. 00,689,"
goetzmann0312	Central Trust Company Stock Certificate, Cambridge, Massachusetts, 1929	No. 1636	year-like:No. 1636	notes:"No. 1636,"
goetzmann0313	Amsterdam Depositary Certificate for Bank of the United States Shares	No. 36,013		notes:"No. 36,013"
goetzmann0314	Hamburg Office of Administration Certificate for 5% Russian Funds	No. 14,463		notes:"No. 14,463"
goetzmann0315	Charles Laffitte & Company Limited Share Certificate	No. 67906		notes:"No. 67906,"
goetzmann0316	Chicago, Rock Island & Pacific Rail Road Company Mortgage Bond, Chicago	No. 1381		notes:"No. 1381,"
goetzmann0317	Chicago, Rock Island and Pacific Railroad Company Gold Bond	No. 530035		notes:"No. 530035"
goetzmann0319	Gouvernement Général de l'Indo-Chine Obligation, Paris, 1902	No. 153,376		notes:"No. 153,376,"
